Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
24/06/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 8851200203 032026;0;STANDARD;200;EUR;31/03/2026;8851200203;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0009763V;VFF;Facture Kuantic 8851200203 032026;1;STANDARD;200;EUR;31/03/2026;8851200203;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 8851200204 032026;0;STANDARD;2400;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK1376082E;VFF;Facture Kuantic 8851200204 032026;1;STANDARD;300;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0009884G;VFF;Facture Kuantic 8851200204 032026;4;STANDARD;1200;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK1331709F;VFF;Facture Kuantic 8851200204 032026;1;STANDARD;300;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0868278E;VFF;Facture Kuantic 8851200204 032026;1;STANDARD;300;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0009548A;VFF;Facture Kuantic 8851200204 032026;1;STANDARD;300;EUR;31/03/2026;8851200204;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 8851200290 042026;0;STANDARD;200;EUR;28/04/2026;8851200290;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0007312J;VFF;Facture Kuantic 8851200290 042026;1;STANDARD;200;EUR;28/04/2026;8851200290;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;401100;S00115562-ITA10135;GK0028795X;VFF;Facture Kuantic 8851200292 042026;0;STANDARD;200;EUR;28/04/2026;8851200292;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
24/06/2026;0001;622840;S00115562-ITA10135;GK0007312J;VFF;Facture Kuantic 8851200292 042026;1;STANDARD;200;EUR;28/04/2026;8851200292;0;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
