"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"CEC";"FOURNISSEURS";"02/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_020726-211525_ST_CEL01_639186237250596041_001";"3";"20694,68";"20694,68";"0";"0";"0";"3";"20694,68";"20694,68";"20694,68";"20694,68";"20694,68";"0";"0";"3";"20694,68";"KO"
"CEE";"FOURNISSEURS";"02/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_020726-211525_ST_CEL01_639186237250596041_001";"17";"85044,35";"85044,35";"0";"0";"0";"17";"85044,35";"85044,35";"85044,35";"85044,35";"85044,35";"0";"0";"17";"85044,35";"KO"
"CEG";"FOURNISSEURS";"02/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_020726-211525_ST_CEL01_639186237250596041_001";"13";"242549,19";"242549,19";"0";"0";"0";"13";"242549,19";"242549,19";"242549,19";"242549,19";"192448,52";"0";"0";"13";"242549,19";"KO"
"CEG";"FOURNISSEURS";"01/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_300626-200458_ST_CEL01_639184466982671030_001";"69";"145448,67";"145448,67";"61";"156344,73";"156344,73";"8";"-10896,06";"-10896,06";"145448,67";"-10896,06";"152655,18";"61";"156344,73";"8";"-10896,06";"KO"
"CYC";"CLIENTS";"03/07/2026";"HEF01_SRC_FACTURESCLIENTS_030726-011027_ST_HEF01_639186378273352956_001";"473";"3775033,8";"3775033,8";"0";"0";"0";"473";"3775033,8";"3775033,8";"3775033,8";"3775033,8";"3775033,8";"0";"0";"473";"3775033,8";"KO"
"CYC";"CLIENTS";"02/07/2026";"HEF01_SRC_FACTURESCLIENTS_020726-010959_ST_HEF01_639185513990880936_001";"409";"5555511,79";"5555511,79";"409";"6798633,11";"6798633,11";"0";"-1243121,32";"-1243121,32";"5555511,79";"-1243121,32";"5555511,79";"0";"0";"409";"5555511,79";"KO"
"CYC";"CLIENTS";"30/06/2026";"HEF01_SRC_FACTURESCLIENTS_300626-010932_ST_HEF01_639183785720902444_001";"379";"2934232,63";"2934232,63";"379";"3317516,29";"3317516,29";"0";"-383283,66";"-383283,66";"2934232,63";"-383283,66";"2027,52";"378";"2932205,11";"1";"2027,52";"KO"
"CYC";"CLIENTS";"29/06/2026";"HEF01_SRC_FACTURESCLIENTS_270626-010926_ST_HEF01_639181193668240670_001";"372";"2513869,88";"2513869,88";"372";"3626456,54";"3626456,54";"0";"-1112586,66";"-1112586,66";"2513869,88";"-1112586,66";"360,8";"371";"2513509,08";"1";"360,80";"KO"
"CYF";"FOURNISSEURS";"03/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_030726-011101_ST_HEF01_639186378612627826_001";"41";"626981,92";"626981,92";"0";"0";"0";"41";"626981,92";"626981,92";"626981,92";"626981,92";"626981,92";"0";"0";"41";"626981,92";"KO"
"FAS";"CLIENTS";"29/05/2026";"FAC02_SRC_FACTURESCLIENTS_290526-014312_ST_FAC02_639156157927905840_001";"4437";"1057628,86";"1057628,86";"4437";"2481120,64";"2481120,64";"0";"-1423491,78";"-1423491,78";"1057628,86";"-1423491,78";"0";"4436";"1055335,52";"1";"2293,34";"KO"
"GCA";"CLIENTS";"03/07/2026";"FAC02_SRC_FACTURESCLIENTS_030726-005913_ST_FAC02_639186371537075584_001";"3049";"10724557,01";"10724557,01";"0";"0";"0";"3049";"10724557,01";"10724557,01";"10724557,01";"10724557,01";"10724557,01";"0";"0";"3049";"10724557,01";"KO"
"GCA";"CLIENTS";"02/07/2026";"FAC02_SRC_FACTURESCLIENTS_020726-054536_ST_FAC02_639185679362350182_001";"20079";"98066636,19";"98066636,19";"20079";"107837894,41";"107837894,41";"0";"-9771258,22";"-9771258,22";"98066636,19";"-9771258,22";"98066636,13";"0";"0";"20079";"98066636,19";"KO"
"GCA";"CLIENTS";"01/07/2026";"FAC02_SRC_FACTURESCLIENTS_010726-010451_ST_FAC02_639184646918308701_001";"8021";"41602332,9";"41602332,9";"8021";"41635906,86";"41635906,86";"0";"-33573,96";"-33573,96";"41602332,9";"-33573,96";"-9342,88";"8016";"41611675,78";"5";"-9342,88";"KO"
