0688K2608AUUF;0001;12570804;GAZ;CRE/M;87
0688K2608AUUH;0001;12570805;GAZ;CRE/M;87
0688K2608AUUK;0001;12570806;GAZ;CRE/M;87
0688K2608AVVN;0001;12570807;GAZ;CRE/M;90
0688K2608AUSF;0001;12570808;GAZ;CRE/M;86
0688K2608AUQC;0001;12570809;GAZ;CRE/M;86
0688K2608AUPY;0001;12570810;GAZ;CRE/M;86
0688K2608AVSG;0001;12570811;GAZ;CRE/M;88
0688K2608AVSL;0001;12570812;GAZ;CRE/M;88
0688K2608AUSQ;0001;12570813;GAZ;CRE/M;86
0688K2608AVZP;0001;12570814;GAZ;CRE/M;91
0688K2608AVUC;0001;12570815;GAZ;CRE/M;88
0688K2608AWCE;0001;12570816;GAZ;CRE/M;91
0688K2608AWSE;0001;12570817;GAZ;CRE/M;91
0688K2608AUWW;0691;12570818;GAZ;CRE/M;236
0688K2608AUWX;0691;12570819;GAZ;CRE/M;236
0688K2608AUWY;0691;12570820;GAZ;CRE/M;236
0688K2608AUWU;0691;12570821;GAZ;CRE/M;236
0688K2608AUWT;0691;12570822;GAZ;CRE/M;236
0688K2608AUWV;0691;12570823;GAZ;CRE/M;236
0688K2608AWTQ;0001;12570824;GAZ;CRE/M;91
0688K2608AWTT;0001;12570825;GAZ;CRE/M;91
0688K2608AWRV;0001;12570826;GAZ;CRE/M;91
0688K2608AWSB;0001;12570827;GAZ;CRE/M;91
0688K2608AVSA;0001;12570828;GAZ;CRE/M;88
0688K2608AVRK;0001;12570829;GAZ;CRE/M;88
0688K2608AVRM;0001;12570830;GAZ;CRE/M;88
0688K2608AVRR;0001;12570831;GAZ;CRE/M;88
0688K2608AVSJ;0001;12570832;GAZ;CRE/M;88
0688K2608AVCT;0001;12570833;GAZ;CRE/M;85
0688K2608AVCZ;0001;12570834;GAZ;CRE/M;85
0688K2608AVWM;0001;12570835;GAZ;CRE/M;88
0688K2608AVVF;0001;12570836;GAZ;CRE/M;88
0688K2608AWJU;0001;12570837;GAZ;CRE/M;91
0688K2608AWJQ;0001;12570838;GAZ;CRE/M;91
0688K2608AUZB;0691;12570839;GAZ;CRE/M;236
0688K2608AWJL;0001;12570840;GAZ;CRE/M;91
0688K2608AVLP;0001;12570841;GAZ;CRE/M;87
0688K2608AVPG;0001;12570842;GAZ;CRE/M;87
