Application;Group Name;Job Name;Odate;Start Time;End Time;Run Time;Status;Description;Member Name;Task Type;Deleted;Rerun Counter;Cyclic;CONTROL-M Name;Table;Run as User;Hostname;Nodegroup;Order id;
CEL-CELERIS;CELCEL_J11TRT_04_H;CELCEL_J11TRT_04_H;"April 11, 2026";"April 11, 2026 1:30:10 PM";"April 11, 2026 3:01:09 PM";;Ended OK;CELERIS : Traitement Maintenance Bdd;;SMART Table;No;1;No;CTMSRV;CELCEL_J11TRT_04_H;;ldkctmp50;;3pykh
CEL-CELERIS;CELCEL_J11TRT_04_H;CELCEL_J11TRT_04_WRK01_H;"April 11, 2026";"April 11, 2026 2:00:00 PM";"April 11, 2026 3:01:08 PM";;Ended OK;CELERIS : Traitement Maintenance Bdd;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CELCEL_J11TRT_04_H;svce_cm;wdkcelp12;A_W_CEL12;3pyki
CID-CONTRACTUAL INVO;CIDCID_F20TRT_04_H;CIDCID_F20TRT_04_H;"April 11, 2026";"April 11, 2026 1:30:10 PM";"April 11, 2026 3:55:47 PM";;Ended OK;Allegement PDF Facturation;;SMART Table;No;1;No;CTMSRV;CIDCID_F20TRT_04_H;;ldkctmp50;;3py8q
CID-CONTRACTUAL INVO;CIDCID_F20TRT_04_H;CIDCID_F20TRT_04_WRK01_H;"April 11, 2026";"April 11, 2026 2:00:00 PM";"April 11, 2026 3:55:47 PM";;Ended OK;Allegement PDF Facturation;lance_Traitement_Interne.bat;Job;No;1;No;CTMSRV;CIDCID_F20TRT_04_H;svce_cm;wdkcidp12;A_W_CID12;3py8r
CID-CONTRACTUAL INVO;CIDCID_K12SVG_03_H;CIDCID_K12SVG_03_NBU01_H;"April 11, 2026";"April 12, 2026 5:00:00 AM";"April 12, 2026 5:00:00 AM";;Ended OK;Sauvegarde Full NBU du serveur WDKCIDP01;NetbackupRemoteCtm_Full.ksh;Dummy;No;1;No;CTMSRV;CIDCID_K12SVG_03_H;root;;NOTEXIST;3pxxc
CID-CONTRACTUAL INVO;CIDCID_K12SVG_03_H;CIDCID_K12SVG_03_NBU02_H;"April 11, 2026";"April 12, 2026 5:00:00 AM";"April 12, 2026 5:00:00 AM";;Ended OK;Sauvegarde Full NBU du serveur WDKCIDP02;NetbackupRemoteCtm_Full.ksh;Dummy;No;1;No;CTMSRV;CIDCID_K12SVG_03_H;root;;NOTEXIST;3pxxd
CID-CONTRACTUAL INVO;CIDCID_K12SVG_03_H;CIDCID_K12SVG_03_NBU03_H;"April 11, 2026";"April 12, 2026 8:00:00 AM";"April 12, 2026 8:00:00 AM";;Ended OK;Sauvegarde Full NBU du serveur WDKCIDP03;NetbackupRemoteCtm_Full.ksh;Dummy;No;1;No;CTMSRV;CIDCID_K12SVG_03_H;root;;NOTEXIST;3pxxe
CID-CONTRACTUAL INVO;CIDECO_F11INT_05_Q;CIDECO_F11INT_05_LIM01_Q;"April 11, 2026";"April 12, 2026 12:00:00 AM";"April 12, 2026 12:00:00 AM";;Ended OK;limite horaire 00H00 CID si pb A00ON  ECO;W512_LIMITCID0200;Dummy;No;1;No;CTMSRV;CIDECO_F11INT_05_Q;root;;;3pwim
CID-CONTRACTUAL INVO;CIDEXT_F11GEN_06_Q;CIDEXT_F11GEN_06_Q;"April 11, 2026";"April 11, 2026 1:30:11 PM";"April 11, 2026 1:30:11 PM";;Ended OK;;;SMART Table;No;1;No;CTMSRV;CIDEXT_F11GEN_06_Q;;;;3pwi4
CID-CONTRACTUAL INVO;CIDOAP_F11GEN_06_Q;CIDOAP_F11GEN_06_Q;"April 11, 2026";"April 11, 2026 1:30:10 PM";"April 11, 2026 1:30:11 PM";;Ended OK;;;SMART Table;No;1;No;CTMSRV;CIDOAP_F11GEN_06_Q;;;;3pxdu
CID-CONTRACTUAL INVO;CIDPEL_F11GEN_06_Q;CIDPEL_F11GEN_06_Q;"April 11, 2026";"April 11, 2026 1:30:10 PM";"April 11, 2026 1:30:11 PM";;Ended OK;;;SMART Table;No;1;No;CTMSRV;CIDPEL_F11GEN_06_Q;;;;3py8l
CID-CONTRACTUAL INVO;CIDSIC_F11GEN_06_Q;CIDSIC_F11GEN_06_Q;"April 11, 2026";"April 11, 2026 1:30:11 PM";"April 11, 2026 1:30:11 PM";;Ended OK;;;SMART Table;No;1;No;CTMSRV;CIDSIC_F11GEN_06_Q;;;;3pxnw
CRT-CRT;CRTCRT_E21TEC_V1_Q;CRTCRT_E21TEC_V1_PUR01_Q;"April 11, 2026";"April 11, 2026 3:00:00 PM";"April 11, 2026 3:00:08 PM";;Ended OK;Purge des logs;PURGE_FICHIER.exe;Job;No;1;No;CTMSRV;CRTCRT_E21TEC_V1_Q;crtuser;wdkcrtv1p03;wdkcrtv1p03;3pxs8
CRT-CRT;CRTCRT_E21TEC_V1_Q;CRTCRT_E21TEC_V1_Q;"April 11, 2026";"April 11, 2026 1:30:10 PM";"April 11, 2026 3:00:09 PM";;Ended OK;Chaine de purge  des logs sur le serveur WDKMOSVP03;;SMART Table;No;1;No;CTMSRV;CRTCRT_E21TEC_V1_Q;;ldkctmp50;;3pxs7
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:01 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttgp01;wdkcrttgp01;3pwrl
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp01;wdkcrttdp01;3pwre
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp04;wdkcrttdp04;3pwrh
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp05;wdkcrttdp05;3pwri
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp06;wdkcrttdp06;3pwrj
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttmp01;wdkcrttmp01;3pwrm
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttmp02;wdkcrttmp02;3pwrn
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttmp03;wdkcrttmp03;3pwro
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:02 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttmp05;wdkcrttmp05;3pwrq
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:03 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp02;wdkcrttdp02;3pwrf
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:03 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttdp03;wdkcrttdp03;3pwrg
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:06 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttcp01;wdkcrttcp01;3pwrb
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:06 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttcp03;wdkcrttcp03;3pwrd
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:06 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttmp04;wdkcrttmp04;3pwrp
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:09 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrtbcp04;wdkcrtbcp04;3pwr9
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:10 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrttcp02;wdkcrttcp02;3pwrc
CRT-CRT;CRTCRT_E21TEC_XX_Q;CRTCRT_E21TEC_XX_ARC01_Q;"April 11, 2026";"April 12, 2026 7:30:00 AM";"April 12, 2026 7:30:14 AM";;Wait for Event;Archivage des logs;Archivage_Logs_BridgeClient.bat;Job;No;19;Yes;CTMSRV;CRTCRT_E21TEC_XX_Q;crtuser;wdkcrtbcp01;wdkcrtbcp01;3pwr6
